fuente;tabla;archivo_datos;orden_columna;columna;variable_original;representa;unidad_o_codificacion;origen;limitantes_metadato;notas_metadato;observacion_paa;fuente_definicion;estado_definicion
SNIG;Especies;data/processed/SNIG/Catalogos/Especies.csv;2;EspecieDescripcion;EspecieDescripcion;Descripción de la especie;Texto descriptivo;Tabla de especies;;;;data/raw/SNIG/2025/metadatos/Metadatos/especies.csv;Documentada en metadatos
SNIG;Categorias;data/processed/SNIG/Catalogos/Categorias.csv;1;EspecieCodigo;EspecieCodigo;Código de la especie;"Código; no es una magnitud continua";Tabla de categorias;;Cuenta con una tabla de códigos ?Especies?;;data/raw/SNIG/2025/metadatos/Metadatos/categorias.csv;Documentada en metadatos
SNIG;Categorias;data/processed/SNIG/Catalogos/Categorias.csv;2;CategoriaCodigo;CategoriaCodigo;Código de la categoría;"Código; no es una magnitud continua";Tabla de categorias;;;;data/raw/SNIG/2025/metadatos/Metadatos/categorias.csv;Documentada en metadatos
SNIG;Categorias;data/processed/SNIG/Catalogos/Categorias.csv;3;CategoriaDescripcion;CategoriaDescripcion;Descripción de la categoría;Texto descriptivo;Tabla de categorias;;;;data/raw/SNIG/2025/metadatos/Metadatos/categorias.csv;Documentada en metadatos
SNIG;Categorias;data/processed/SNIG/Catalogos/Categorias.csv;4;CategoriaPonderacionUG;CategoriaPonderacionUG;Ponderación para calcular las unidades ganaderas;Factor de conversión a unidades ganaderas;Tabla de categorias;;;;data/raw/SNIG/2025/metadatos/Metadatos/categorias.csv;Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;1;Anio;Fecha;Año calendario de la fecha de observación diaria de INIA.;Componente de fecha;Transformación existente del proyecto de ingeniería;;;;scripts/etl_inia.py;"Derivada; documentada en código"
INIA;INIA;data/processed/INIA/INIA.csv;2;Mes;Fecha;Mes de la fecha de observación diaria de INIA.;Componente de fecha;Transformación existente del proyecto de ingeniería;;;;scripts/etl_inia.py;"Derivada; documentada en código"
INIA;INIA;data/processed/INIA/INIA.csv;3;Dia;Fecha;Día del mes de la fecha de observación diaria de INIA.;Componente de fecha;Transformación existente del proyecto de ingeniería;;;;scripts/etl_inia.py;"Derivada; documentada en código"
INIA;INIA;data/processed/INIA/INIA.csv;4;EstacionAgr;Nombre del archivo INIA;"Nombre de la estación agrometeorológica; vincula cada observación con el catálogo EstacionAgr.";Nombre/clave de estación;Transformación existente del proyecto de ingeniería;;;Se conservan las grafías del catálogo processed, incluidos sus acentos y erratas.;scripts/etl_inia.py;"Derivada; documentada en código"
INIA;INIA;data/processed/INIA/INIA.csv;5;Heliofania(hrs);Heliofanía (Hrs.);Heliofanía Hs se obtiene a partir de la “lectura” de la banda de heliofanía que va sobre el heliofanógrafo. Se contabilizan las porciones de la banda que fueron quemadas por el sol, y la suma de estas equivale a las horas de insolación directa. Para el caso de la estación de INIA Las Brujas, a partir del 21 de diciembre de 2020 no se realiza más “lectura” de banda. Las horas de insolación directa se estiman a partir de un modelo ajustado, para esa estación en particular, entre datos de radiación solar de la estación meteorológica automática y radiación calculada a partir de heliofanógrafo. La estación automática se encuentra en el mismo predio donde está ubicado el helioganógrafo. El ajuste del modelo se hizo con datos del 2011 a 2019 inclusive, y considera el mes del año para el cual se estiman las horas de insolación. La validación del modelo se hizo con datos de enero a noviembre de 2020. El modelo ajustado tiene un R2=0.9446 y un RMSE=0.975 horas entre las horas de insolación por banda y horas de insolación estimadas por el modelo ajustado. Para el período de validación, por banda de heliofanógrafo se contabilizaron 2513.9 horas, y por modelo ajustado 2534.5 horas. Una diferencia de 20.6 horas entre ambos métodos, lo que equivale a un 0.82% de sobreestimación del modelo ajustado.;Horas;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;6;TempSC05cm(max);Temp. SC 05cm (max) (ºC);Temperatura máxima registrada a 5 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;7;TempSC10cm(max);Temp. SC 10cm (max) (ºC);Temperatura máxima registrada a 10 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;8;TempSC05cm(min);Temp. SC 05cm (min) (ºC);Temperatura mínima registrada a 5 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;9;TempSC10cm(min);Temp. SC 10cm (min) (ºC);Temperatura mínima registrada a 10 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;10;TempSD05cm(min);Temp. SD 05cm (min) (ºC);Temperatura mínima a 5 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;11;TempSD10cm(min);Temp. SD 10cm (min) (ºC);Temperatura mínima a 10 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;12;TempSD05cm(max);Temp. SD 05cm (max) (ºC);Temperatura máxima a 5 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;13;TempSD10cm(max);Temp. SD 10cm (max) (ºC);Temperatura máxima a 10 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;14;PrecipAcum;Precip. Acumulada (mm);Precipitación acumulada diaria, medida convencionalmente;mm;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;15;TempSD05cm(med);Temp. SD 05cm (med) (ºC);Temperatura media a 5 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;16;TempSD10cm(med);Temp. SD 10cm (med) (ºC);Temperatura media a 10 cm de profundidad en suelo desnudo (sin vegetación).;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;17;TempSC05cm(med);Temp. SC 05cm (med) (ºC);Temperatura media registrada a 5 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;18;TempSC10cm(med);Temp. SC 10cm (med) (ºC);Temperatura media registrada a 10 cm de profundidad en suelo cubierto por pasto.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;19;TempAireMax;Temp. Aire Máxima (ºC);Temperatura máxima registrada convencionalmente en la casilla meteorológica, en el día.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;20;TempAireMin;Temp. Aire Mìnima (ºC);Temperatura mínima registrada convencionalmente en la casilla meteorológica, en el día.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;21;TMedia;T. Media ((TM+Tm)/2) (ºC);Temperatura media del día calculada utilizando la temperatura máxima y la mínima.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;22;EvapPiche;Evaporación Piché (mm);Cantidad de agua que se evapora en 24 horas sin influencia solar, medida convencionalmente.;mm;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;23;EvapTanque;Evaporación Tanque A (mm);Cantidad de agua que se evapora con la influencia solar y del viento en 24 horas.;mm;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;24;TMinSCesped;T.Mín. s/césped (ºC);Temperatura mínima registrada sobre césped (5 cm sobre el suelo) en el día.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;25;RecorridoViento;Recorrido Viento (km/dia);Recorrido del viento en la horizontal a dos metros de altura.;km/día;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;26;HRMax;HR Máxima (%);Valor más alto de Humedad Relativa en el día (0hrs a 24hrs).;%;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;27;TempAireMedia;Temp. Aire Media (ºC);Temperatura Media del Aire.;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada. El pie no detalla su fórmula; no equiparar sin comprobación con TMedia.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;28;HeladaAgromet;Helada Agromet. (S:1/N:0);Cuando a nivel de césped (5 cm del suelo) la temperatura es 0°C o menor, se indica con un “1” que hubo helada agrometeorológica. Se indica con “0” cuando no la hubo.;"Indicador: 1=sí; 0=no";INIA: pie del CSV de cada estación;;;"Indicador 1=sí, 0=no; el cero es un dato presente, no un nulo.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;29;HeladaMeteo;Helada Meteo. (S:1/N:0);Cuando la lectura del termómetro de mínima en la casilla meteorológica (entre 1.50m a 2.00m del suelo) es de 0°C o menor, se indica con un “1” que hubo helada Meteorológica. Un “0” indica que no la hubo.;"Indicador: 1=sí; 0=no";INIA: pie del CSV de cada estación;;;"Indicador 1=sí, 0=no; el cero es un dato presente, no un nulo.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;30;AmplitudTermica;Amplitud Térmica (ºC);Amplitud Térmica °C = Temperatura Máxima °C - Temperatura mínima °C;ºC;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;31;HeliofaniaRelativa;Heliofanía Relativa (%);Relación porcentual entre el valor real y la insolación máxima posible (tabulada de acuerdo a la latitud) para ese día del año.;%;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;32;EvapotranspPenman;Evapotransp. Penman (mm);El cálculo de la evapotranspiración potencial según el método de Penman-Monteith se basa en la ecuación definida por FAO (haciendo uso de la definición del cultivo de referencia como un cultivo hipotético con una altura asumida 0.12m, con una resistencia superficial de 70 sm-1 y un albedo de 0.23 y que representa a la evapotranspiración de una superficie extensa de pasto verde de altura uniforme, creciendo activamente y adecuadamente regado) con algunas modificaciones de algunos parámetros ajustados para las condiciones del Uruguay.;mm;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;33;RadSolar;Rad.Solar (xHelio)cal/cm²;La Radiación Solar se calcula por fórmula de Angstrom, la cual relaciona la radiación solar con la radiación extraterrestre y la duración relativa de la insolación.;cal/cm²;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;34;PrecipEfectiva;Precip. Efectiva (mm);Es la precipitación del día, descontando el escurrimiento superficial.;mm;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;35;UnTermicasArroz;Un. Térmicas Arroz;Se utiliza para calcular el alcance de madurez fisiológica de un cultivo. Se calcula tomando el promedio diario de cada día de la To máxima y mínima comparada con una temperatura base (para arroz = 10 °C). UT = (máx + mín) / 2) – temperatura base o Temperatura Base = para el arroz 10°C o Si la temperatura máxima es >= a 34°C, se topea en 34°C la temperatura máxima. o Si la temperatura mínima es >= a 21 °C, se topea en 21°C la temperatura mínima. o Si (máx + mín) / 2) es menor a la temperatura base, la unidad térmica de arroz queda en 0.;Unidades térmicas de arroz (base 10 ºC y topes según definición);INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;36;UnidadFrio;Unidad Frío (Richardson);Es una unidad donde se asigna a cada temperatura o intervalo de temperaturas un nivel de eficiencia para contribuir a la ruptura de la dormición. Las UF diarias se obtienen mediante la sumatoria de las UF de cada hora del día (00hs a 24hs) por lo que se toman los datos horarios de temperatura.;Unidades de frío Richardson;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;37;TempMin7p2;T <=7.2 (Weinberger)(Hrs);Cantidad de horas en el día (0hrs a 24hrs) en las que la temperatura es menor o igual a 7.2 °C.;Horas;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;38;Llovio;Llovió (S:1/N:0);Refiere a si ese día precipitó (indicado con 1) o no se registró precipitación (indicado con 0).;"Indicador: 1=sí; 0=no";INIA: pie del CSV de cada estación;;;"Indicador 1=sí, 0=no; el cero es un dato presente, no un nulo.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
INIA;INIA;data/processed/INIA/INIA.csv;39;HR90y99;HR >=90% y <=99% (Horas);Cantidad de horas del día (0hrs a 24hrs) en que la Humedad Relativa estuvo igual o entre 90 % y 99%.;Horas;INIA: pie del CSV de cada estación;;;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada.";data/raw/inia/INIA La Estanzuela.csv | data/raw/inia/INIA Las Brujas.csv | data/raw/inia/INIA Salto Grande.csv | data/raw/inia/INIA Tacuarembó - La Magnolia.csv | data/raw/inia/INIA Tacuaremnó - Glencore.csv | data/raw/inia/INIA Treinta y Tres - Paso de la Laguna.csv | scripts/etl_inia.py (renombre);Documentada en metadatos
